Nama Obat,Deskripsi Obat,Peringatan Sebelum Mengonsumsi Obat,Dosis dan Aturan Pakai Obat,Efek Samping dan Bahaya Obat,Penyakit sesuai dengan obat,Merek Dagang
Antagonis H2,"Antagonis H2 atau adalah kelompok obat yang digunakan untuk meredakan gejala penyakit asam lambung atau gastroesophageal reflux disease (GERD). Obat ini juga dapat mengatasi sakit maag, tukak lambung, ulkus duodenum, maupun sindrom Zollinger-Ellison.","Peringatan Sebelum Mengonsumsi Antagonis H2 Ikuti anjuran dan saran dokter selama menjalani pengobatan dengan antagonis H2. Sebelum mengonsumsi obat ini, Anda perlu memperhatikan beberapa hal berikut: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Antagonis H2 tidak boleh digunakan oleh pasien yang alergi terhadap setiap jenis obat yang termasuk dalam golongan obat ini. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit ginjal, penyakit hati, porfiria, diabetes melitus, tumor pada saluran cerna, sistem imun yang lemah, atau penyakit paru-paru, seperti PPOK. Konsultasikan dengan dokter jika Anda menderita fenilketonuria. Beberapa obatantagonis H2 mungkin mengandung aspartame. Informasikan kepadadokter jika Anda ingin menjalani prosedur pemeriksaan kadar asam lambung atau tes alergi. Obat antagonis H2 dapat memengaruhi hasil tes tersebut. Jangan langsung mengemudi atau melakukan aktivitas lain yang memerlukan kewaspadaan setelah mengonsumsi antagonis H2.Obat ini dapat menyebabkan pusing. Diskusikan dengan dokter terkait penggunaan obat ini jika Anda sedang hamil, merencanakan kehamilan, atau sedang menyusui. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis Antagonis H2 Berikut ini adalah jenis-jenis obat yang termasuk dalam golongan Antagonis H2: 1. Cimetidine Bentuk obat: Tablet, kaplet, dan kapsul Merek dagang: Cimetidine, Cimedine, Cimexol, Corsamet, Licomet, Sanmetidin, Tidifar, Ulcusan Untuk mengetahui dosis dan informasi lebih lanjut mengenai obat ini, silakan buka laman obat cimetidine. 2. Famotidine Bentuk obat: Tablet, tablet kunyah, dan kaplet Merek dagang: Corocyd, Denufam, Famocid, Famotidine, Hufatidine, Lexmodine, Magstop, Neosanmag, Polysilane Max, Pratifar, Promag Double Action, Renapepsa, Starmag Double Impact, Ulmo Untuk mengetahui dosis dan informasi lebih lanjut mengenai obat ini, silakan buka laman obat famotidine. 3. Nizatidine Bentuk obat: Kapsul Merek dagang: - Untuk mengetahui dosis dan informasi lebih lanjut mengenai obat ini, silakan buka laman obat nizatidine. 4. Ranitidin Bentuk obat: Tablet, kaplet, dan suntik Merek dagang: Acran, Fordin, Ranitidin, Rantin, Ranitidine, Ranitidine Hydrochloride, Ranitidine HCL, Ranivel Untuk mengetahui dosis dan informasi lebih lanjut mengenai obat ini, silakan buka laman obat ranitidin.","Efek Samping dan Bahaya Antagonis H2 Efek samping antagonis H2 bisa bervariasi, tergantung pada jenis obatnya. Namun, ada beberapa efek samping yang umumnya terjadi setelah menggunakan obat antagonis H2, yaitu: Mulut kering Sakit kepala atau pusing Diare atau sembelit Telinga berdenging Susah tidur atau justru kantuk Lakukan pemeriksaan ke dokter jika muncul efek samping di atas.",Tukak lambung  GERD,", dan"
Anpiride,Anpiride adalah obat untuk menurunkan kadar gula darah pada penderita diabetes tipe 2. Obat dalam sediaan tablet ini hanya dapat digunakan sesuai anjuran dokter.,,"dosis diabetik. Sebelum mengonsumsi obat ini, Anda perlu memperhatikan hal-hal berikut ini:  Informasikan kepada dokter terkait riwayat alergi yang Anda miliki. Anpiride tidak boleh dikonsumsi oleh orang yang alergi terhadap glimepiride, amaril, atau obat yang mengandung sulfonamida. Beri tahu dokter jika Anda pernah atau sedang menderita penyakit ginjal, penyakit jantung, penyakit liver, penyakit tiroid, atau defisiensi glucose-6-phosphate dehydrogenase (G6PD). Informasikan kepada dokter jika Anda sedang demam, mengalami infeksi, cedera, maupun baru atau akan menjalani operasi, termasuk operasi gigi. Sampaikan kepada dokter jika Anda sedang hamil, berencana hamil, atau sedang menyusui. Beri tahu dokter jika Anda sedang mengonsumsi obat-obatan untuk mengatasi penyakit jantung, tekanan darah tinggi, atau kolesterol tinggi. Informasikan kepada dokter mengenai obat lain, termasuk suplemen dan produk herbal, yang sedang dikonsumsi.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Anpiride untuk ibu menyusui Anpiride tidak direkomendasikan untuk ibu menyusui. Bertanyalah kepada dokter mengenai obat diabetes lain yang bisa digunakan selama masa menyusui, terlebih jika bayi lahir prematur.",Kondisi tertentu (perlu cek komposisi),Anpiride
Anidulafungin,"Anidulafungin adalah obat untuk mengatasi penyakit akibat infeksi jamur. Obat ini dapat digunakan untuk menangani infeksi jamur di darah, perut, atau kerongkongan.","Peringatan sebelum Menggunakan Anidulafungin Sebelum menggunakan anidulafungin, Anda perlu memperhatikan beberapa hal berikut: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Anidulafungin tidak boleh digunakan oleh orang yang alergi terhadap obat ini atau obat antijamur jenis echinocandin yang lain, seperti micafungin. Sampaikan kepada dokter jika Anda sedang atau pernah menderita penyakit hati atau intoleransi fruktosa bawaan. Beri tahu dokter jika Anda sedang menggunakan anidulafungin sebelum menjalani operasi, termasuk operasi gigi. Diskusikan dengan dokter terkait penggunaan anidulafungin jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen atau produk herbal.","Dosis dan Aturan Pakai Anidulafungin Anidulafungin diberikan melalui suntikan ke pembuluh darah atau IV/intravena. Berikut adalah dosis umum penggunaan anidulafungin berdasarkan jenis penyakit yang ingin diatasi:  Kondisi: Kandidiasis esofagus Dewasa: 100 mg, 1 kali sehari pada hari pertama. Hari kedua dan selanjutnya dosis diturunkan menjadi 50 mg 1 kali sehari. Lama pengobatan minimal adalah 14 hari. Pengobatan dilanjutkan setidaknya 7 hari setelah gejala hilang untuk memastikan infeksi sepenuhnya sembuh. Kondisi: Kandidiasis yang menyerang darah, organ, atau rongga perut Dewasa: 200 mg, 1 kali sehari pada hari pertama. Hari kedua dan selanjutnya dosis diturunkan menjadi 100 mg 1 kali sehari. Lama pengobatan hingga 14 hari. Anak usia ≥1 bulan: 3 mg/kgBB, 1 kali sehari pada hari pertama. Dosis maksimal 200 mg per hari. Hari kedua dan selanjutnya dosis diturunkan menjadi 1,5 mg/kgBB, 1 kali sehari dengan dosis maksimal 100 mg per hari. Lama pengobatan hingga 14 hari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Anidulafungin untuk ibu menyusui Anidulafungin umumnya aman untuk ibu menyusui selama digunakan sesuai dengan anjuran dokter.",Infeksi jamur invasif,anidulafungin Ecalta 
Angioten,Angioten adalah obat untuk menurunkan tekanan darah tinggi (hipertensi). Obat ini umumnya perlu diminum dalam jangka panjang guna mencegah terjadinya serangan jantung atau stroke akibat hipertensi.,"Peringatan sebelum Menggunakan Angioten  Angioten harus digunakan sesuai saran dari dokter dan aturan pakai. Perhatikan hal-hal berikut sebelum mengonsumsi obat ini: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Angioten tidak boleh dikonsumsi oleh orang yang alergi terhadap losartan. Pastikan untuk memberi tahu dokter jika menderita kelebihan hormon aldosteron (aldosteronisme) atau asites akibat sirosis. Angioten tidak boleh digunakan oleh orang dengan kondisi tersebut. Informasikan kepada dokter jika pernah atau sedang menderita penyakit jantung, gangguan fungsi ginjal atau hati, gangguan elektrolit, diabetes, angioedema. Beri tahu dokter jika Anda sedang menjalani program diet rendah garam atau baru saja menjalani transplantasi ginjal. Pastikan untuk memberi tahu dokter jika Anda sedang hamil, menyusui, atau merencanakan kehamilan. Konsultasikan ke dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Angioten   Dosis dan aturan pakai Angioten ditentukan oleh dokter sesuai usia dan kondisi pasien. Secara umum, berikut adalah dosis Angioten: Kondisi: hipertensi Dewasa dan anak dengan berat >50 kg: 1 tablet, 1 kali sehari. Dosis dapat ditingkatkan hingga 2 tablet, sebanyak 1 kali sehari. Anak usia >6 tahun dengan berat badan 20–50 kg: 0,7 mg/kg berat badan, 1 kali sehari. Dosis maksimal 50 mg sehari. Kondisi: gagal jantung atau penyakit ginjal akibat diabetes Dewasa: 1 tablet, 1 kali sehari. Dosis dapat ditingkatkan hingga 2 tablet, sebanyak 1 kali sehari.",efek samping yang lebih serius setelah menggunakan Angioten.,Hipertensi,Angioten
Anfuhex Krim,"Anfuhex Krim adalah obat oles yang digunakan untuk menyembuhkan penyakit akibat infeksi jamur di kulit, seperti panu, kurap, kutu air, atau kandidiasis kulit. Anfuhex krim mengandung ketoconazole sebagai bahan aktifnya.","Peringatan sebelum Menggunakan Anfuhex Krim Anfuhex krim tidak bisa digunakan sembarangan dan harus sesuai dengan anjuran dokter. Oleh karena itu, perhatikan beberapa hal di bawah ini sebelum menggunakan Anfuhex krim: Beri tahu dokter mengenai riwayat alergi yang Anda miliki. Anfuhex krim tidak boleh digunakan oleh orang yang alergi terhadap kandungan obat ini, atau obat lain dari golongan antijamur azole, seperti clotrimazole, econazole, atau miconazole. Jangan memberikan obat ini kepada anak usia <12 tahun kecuali jika disarankan oleh dokter. Informasikan kepada dokter jika Anda menderita asma. Jangan mengoleskan Anfuhex krim ke area kulit yang mengalami luka terbuka, luka lecet, atau luka bakar yang luas. Jangan merokok atau berada di dekat nyala api saat menggunakan obat oles yang mengandung ketoconazole, seperti Anfuhex krim, karena sediaan krim ketoconazole mudah terbakar. Diskusikan dengan dokter mengenai penggunaan Anfuhex krim jika Anda sedang hamil, berencana hamil, atau sedang menyusui. Konsultasikan ke dokter jika Anda sedang menggunakan obat atau produk herbal, terutama yang dioleskan ke kulit.","Dosis dan Aturan Pakai Anfuhex Krim Berikut ini adalah dosis penggunaan Anfuhex krim berdasarkan kondisi pasien: Kondisi: Panu (tinea versicolor) Oleskan krim tipis-tipis 1–2 kali sehari, selama 2–3 minggu. Lanjutkan terapi sampai beberapa hari setelah keluhan infeksi menghilang. Kondisi: Candidiasis kulit Oleskan krim tipis-tipis 1 kali sehari, selama 2–3 minggu. Lanjutkan pengobatan sampai beberapa hari setelah keluhan infeksi menghilang. Kondisi: Kurap (tinea corporis) Oleskan krim tipis-tipis dan merata sebanyak 1–2 kali sehari pada area kulit yang mengalami keluhan. Pakailah krim ini sampai beberapa hari setelah gejala kurap membaik. Lama pengobatan selama 3–4 minggu. Kondisi: Infeksi jamur di selangkangan (tinea cruris) Krim dioleskan secara merata dan tipis-tipis 1–2 kali sehari. Pemberian krim harus dilanjutkan sampai beberapa hari setelah gejala membaik. Durasi pengobatan adalah 2–4 minggu. Kondisi: Kutu air (tinea pedis) Oleskan krim pada tangan atau kaki yang terinfeksi sebanyak 1–2 kali sehari. Lanjutkan penggunaan krim sampai beberapa hari setelah keluhan membaik. Pengobatan berlangsung selama 4–6 minggu.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin berdasarkan pertimbangan dokter. Anfuhex krim untuk ibu menyusui Obat ini aman digunakan oleh ibu menyusui. Apabila perlu menggunakan Anfuhex krim di area payudara, sebaiknya gunakan setelah selesai menyusui. Pastikan juga payudara telah bersih dari obat ini sebelum waktu menyusui selanjutnya.",Infeksi jamur pada kulit,Anfuhex Krim
Anfuhex,"Anfuhex adalah obat untuk mengatasi infeksi jamur sistemik, yaitu infeksi yang menyerang organ dalam tubuh dan dapat menyebar ke seluruh tubuh. Obat ini dapat digunakan untuk mengatasi blastomycosis, coccidioidomycosis, atau histoplasmosis.","Peringatan sebelum Menggunakan Anfuhex Obat yang mengandung ketoconazole, seperti Anfuhex tidak boleh digunakan oleh anak usia di bawah 2 tahun karena manfaat dan keamanannya belum diketahui secara pasti. Hal lain yang perlu Anda perhatikan sebelum mengonsumsi Anfuhex, yaitu: Beri tahu dokter tentang riwayat alergi yang Anda miliki. Anfuhex tidak boleh digunakan oleh orang yang alergi terhadap ketoconazole atau obat lain yang termasuk dalam antijamur jenis azole, seperti itraconazole atau fluconazole. Informasikan kepada dokter jika Anda pernah atau sedang menderita penyakit jantung, penyakit liver, gangguan kelenjar adrenal, atau achlorhydria (kondisi ketika lambung tidak memproduksi asam lambung) Pastikan untuk memberi tahu dokter jika Anda atau keluarga memiliki riwayat gangguan irama jantung (aritmia), kelainan pada hasil EKG, atau henti jantung mendadak pada usia muda. Diskusikan dengan dokter mengenai penggunaan Anfuhex jika Anda sedang hamil, berencana hamil, atau sedang menyusui. Informasikan dengan dokter perihal penggunaan Anfuhex jika Anda direncanakan menjalani operasi, termasuk operasi gigi. Konsultasikan ke dokter perihal konsumsi Anfuhex jika sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Anfuhex Berikut ini adalah dosis umum penggunaan Anfuhex berdasarkan kondisi dan usia pasien: Kondisi: Infeksi jamur sistemik, seperti blastomycosis, coccidioidomycosis, histoplasmosis, chromomycosis, atau paracoccidioidomycosis Dewasa anak dengan BB >30 kg: 200 mg (1 tablet), 1 kali per hari. Dosis dapat ditingkatkan menjadi 400 mg (2 tablet) sehari, tergantung pada respons pasien terhadap pengobatan. Anak dengan BB 15–20 kg: 100 mg (½ tablet), 1 kali sehari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Obat ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin berdasarkan pertimbangan dokter. Anfuhex untuk ibu menyusui Obat ini umumnya dapat digunakan oleh ibu menyusui. Namun, sebaiknya diskusikan dengan dokter mengenai obat antijamur lain yang lebih aman dikonsumsi selama masa menyusui.",Infeksi jamur,Anfuhex
Anemolat,Anemolat adalah suplemen asam folat dalam bentuk tablet. Anemolat bermanfaat untuk mencegah dan mengatasi kekurangan asam folat.,"Peringatan sebelum Mengonsumsi Anemolat Meski bermanfaat sebagai obat anemia, Anemolat tidak bisa digunakan untuk anemia pernisiosa. Hal penting lain yang perlu Anda perhatikan sebelum minum suplemen ini adalah: Jangan menggunakan Anemolat jika Anda alergi terhadap asam folat. Jika ragu, beri tahu dokter tentang alergi yang dimiliki sebelum minum suplemen ini. Berkonsultasilah ke dokter sebelum menggunakan suplemen asam folat jika terdapat riwayat kehamilan dengan cacat tabung saraf pada keluarga atau diri sendiri. Tujuannya adalah agar dokter dapat menentukan dosis Anemolat yang tepat untuk kondisi Anda. Diskusikan terkait penggunaan Anemolat ke dokter jika Anda sedang atau pernah mengalami kejang atau epilepsi, kanker, penyakit infeksi, penyakit liver, anemia hemolitik, radang usus, atau kecanduan alkohol. Mintalah saran dokter mengenai penggunaan Anemolat jika Anda memiliki penyakit ginjal atau sedang menjalani cuci darah rutin. Jangan menggunakan suplemen asam folat tanpa persetujuan dokter jika Anda baru-baru ini menjalani angioplasti. Konsultasikan mengenai penggunaan Anemolat ke dokter jika Anda sedang hamil, berencana hamil, atau sedang menyusui. Berkonsultasilah ke dokter jika Anda berencana menggunakan Anemolat bersama suplemen lain, atau obat maupun produk herbal tertentu.","Dosis sesuai angka kecukupan gizi harian Kategori A: Studi terkontrol pada ibu hamil tidak menunjukkan adanya risiko terhadap janin, dan kecil kemungkinannya untuk membahayakan janin.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada ibu hamil. Suplemen ini hanya boleh digunakan jika besarnya manfaat yang diharapkan melebihi besarnya risiko terhadap janin. Anemolat untuk ibu menyusui Kandungan asam folat pada Anemolat dapat terserap ke dalam ASI, tetapi dianggap aman dikonsumsi saat menyusui jika sesuai dosis dalam kemasan atau sesuai anjuran dokter.",Anemia,Anemolat
Andalan Laktasi,"Andalan Laktasi adalah pil kontrasepsi hormonal yang dapat mencegah kehamilan hingga 99,99%. Andalan Laktasi mengandung lynestrenol dalam","Peringatan sebelum Mengonsumsi Andalan Laktasi Perhatikan hal-hal berikut sebelum Anda mengonsumsi pil KB, termasuk Andalan Laktasi: Beri tahu dokter riwayat alergi yang Anda Andalan Laktasi tidak boleh dikonsumsi oleh orang yang alergi terhadap lynestrenol. Jika Anda pernah atau sedang mengalami kanker payudara, penyakit jantung, stroke, sumbatan pembuluh darah akibat penggumpalan darah, penyakit hati, atau penyakit kantung empedu, hindari menggunakan produk ini atau kontrasepsi hormonal apa pun sebelum berkonsultasi dengan dokter. Jika Anda rutin menggunakan obat untuk kejang atau TBC, jangan mengonsumsi produk ini. Beri tahu dokter jika Anda menderita penyakit ginjal, epilepsi, migrain, asma, diabetes, sindrom malabsorpsi, kista ovarium, atau baru mengalami kehamilan ektopik. Beri tahu dokter jika Anda mengalami perdarahan vagina yang tidak diketahui penyebabnya maupun sakit kepala parah yang disertai mual atau gangguan penglihatan, baik sebelum maupun selama mengonsumsi Andalan Laktasi. Jangan menggunakan pil KB atau kontrasepsi apa pun, kecuali kondom, jika Anda sedang hamil. Beri tahu dokter jika ada kemungkinan Anda hamil.","dosis rendah. Andalan Laktasi direkomendasikan untuk ibu menyusui dan penderita tekanan darah tinggi yang ingin mencegah kehamilan. Lynestrenol merupakan progestin, bentuk lain hormon progesteron, yang sangat efektif untuk mencegah kehamilan dengan cara menghalangi pelepasan sel telur, mengentalkan cairan di leher rahim untuk mempersulit masuknya sperma, dan mencegah tertanamnya sel telur yang sudah dibuahi ke dinding rahim. Andalan Laktasi tidak mengganggu kualitas maupun jumlah ASI sehingga bisa menjadi pilihan kontrasepsi yang aman bagi ibu menyusui dan bayinya. Andalan Laktasi juga aman untuk penderita tekanan darah tinggi (hipertensi) yang tidak boleh mengonsumsi pil KB kombinasi dengan kandungan estrogen. Apa Itu Andalan Laktasi Bahan aktif Lynestrenol 0,5 mg Golongan Obat keras Kategori Pil KB Manfaat Mencegah kehamilan Dikonsumsi oleh Wanita dewasa, terutama yang sedang menyusui atau menderita hipertensi Andalan Laktasi untuk ibu hamil Kategori X: Studi pada binatang percobaan dan manusia telah memperlihatkan adanya abnormalitas terhadap janin atau adanya risiko terhadap janin. Obat dalam kategori ini tidak boleh digunakan oleh ibu hamil atau wanita yang mungkin sedang hamil. Andalan Laktasi untuk ibu menyusui Pil KB ini direkomendasikan untuk ibu menyusui karena hanya mengandung progestin sehingga tidak mengganggu kualitas dan produksi ASI.","efek samping Penurunan efektivitas Andalan Laktasi untuk mencegah kehamilan jika digunakan dengan phenytoin, phenobarbital, primidone, carbamazepine, topiramate, griseofulvin, atau rifampicin Penurunan efektivitas Andalan Laktasi jika digunakan bersamaan atau dalam waktu dekat dengan karbon aktif Untuk mencegah efek interaksi obat yang tidak diinginkan, beri tahu dokter bahwa Anda sedang mengonsumsi Andalan Laktasi sebelum minum obat, suplemen, atau produk herbal apa pun. Efek Samping Andalan Laktasi Efek samping Andalan Lakstasi umumnya bersifat ringan dan hanya berlangsung sementara. Beberapa efek samping yang bisa muncul pada penggunaan lynestrenol yang ada dalam Andalan Laktasi adalah: Perubahan siklus haid Sakit kepala Nyeri payudara Keluar flek atau bercak darah dari vagina seperti haid Perubahan siklus haid, seperti haid yang jarang atau tidak haid sama sekali, merupakan kondisi yang wajar selama menggunakan Andalan Laktasi. Kondisi ini juga umum dialami oleh ibu menyusui yang menggunakan pil KB ini. Sakit kepala dan nyeri payudara dapat diatasi dengan mengonsumsi obat pereda nyeri, seperti paracetamol. Anda juga dapat menggunakan sport bra yang lebih  nyaman dan bisa menopang payudara dengan baik. Konsultasikanlah dengan tenaga kesehatan atau Tanya KB Halo DKT jika keluhan di atas tidak kunjung reda meski telah minum obat atau istirahat. Periksakan juga ke dokter jika muncul reaksi alergi obat, seperti gatal, ruam, serta bengkak di bibir atau kelopak mata, agar penyebabnya bisa dipastikan dan diberikan penanganan yang sesuai.",Kontrasepsi (pil KB menyusui),Andalan Laktasi
Anastrozole,"Anastrozole adalah obat untuk mengatasi kanker payudara pada wanita yang sudah menopause. Anastrozole bisa diberikan kepada pasien yang kondisinya tidak kunjung membaik setelah menjalani terapi dengan obat lain, seperti tamoxifen.","Peringatan Sebelum Mengonsumsi Anastrozole Ada beberapa hal yang harus Anda perhatikan sebelum menggunakan anastrozole, yaitu: Beri tahu dokter riwayat alergi yang Anda miliki. Anastrozole tidak boleh dikonsumsi oleh orang yang alergi terhadap obat ini. Beri tahu dokter jika Anda belum mengalami menopause. Anastrozole tidak boleh digunakan pada orang dengan kondisi tersebut. Beri tahu dokter jika Anda sedang atau pernah menderita penyakit hati, penyakit jantung koroner, penyakit jantung, kolesterol tinggi, hipertensi, osteoporosis, gangguan pembekuan darah, atau tulang keropos. Beri tahu dokter jika Anda sedang hamil, mungkin hamil, menyusui, atau sedang merencanakan kehamilan. Gunakan alat kontrasepsi yang efektif selama menjalani pengobatan dengan obat ini. Informasikan kepada dokter jika Anda sedang menggunakan obat lain, termasuk suplemen dan produk herbal.","Dosis dan Aturan Pakai Anastrozole Dosis anastrozole sebagai terapi tambahan untuk mengobati kanker payudara pada wanita dewasa yang sudah menopause adalah 1 mg, 1 kali sehari. Durasi pengobatan bisa dilakukan hingga 5 tahun.",efek samping pada janin.,Kanker payudara (pada wanita pascamenopause),"anastrozole Anamidex, Anzonat, Aramidex, ATZ, Bracer, Brecazole, Forinaz, Sterazole "
Anastan Forte,"Anastan Forte adalah obat yang bermanfaat untuk meredakan nyeri, seperti nyeri sendi, sakit gigi, sakit kepala, nyeri setelah operasi, dan nyeri haid. Obat ini juga dapat meredakan gejala peradangan, seperti rasa panas, kemerahan, dan bengkak.","Peringatan Sebelum Mengonsumsi Anastan Forte Anastan Forte harus digunakan dengan resep. Ada beberapa hal yang perlu diperhatikan sebelum mengonsumsi obat ini, di antaranya: Jangan mengonsumsi Anastan Forte jika Anda memiliki alergi terhadap obat ini atau obat antiinflamasi nonsteroid lainnya, seperti aspirin atau ibuprofen. Jangan mengonsumsi Anastan Forte jika Anda sedang menderita perdarahan saluran cerna, radang usus, gagal jantung berat, gagal ginjal berat, gagal hati berat, atau baru menjalani operasi bypass jantung. Beri tahu dokter jika Anda pernah menderita asma, hipertensi, diabetes, sumbatan pembuluh darah, penyakit ginjal, penyakit liver, penyakit jantung, stroke, atau tukak lambung. Jangan mengemudikan kendaraan atau melakukan kegiatan yang membutuhkan kewaspadaan setelah mengonsumsi Anastan Forte, karena obat ini dapat menyebabkan pusing atau kantuk pada beberapa orang. Jangan mengonsumsi minuman beralkohol saat menjalani pengobatan dengan Anastan Forte karena akan meningkatkan risiko terjadinya perdarahan saluran cerna. Beri tahu dokter jika Anda sedang hamil, menyusui, atau sedang merencanakan kehamilan.","dosis setelah mengonsumsi Anastan Forte. Dosis dan Aturan Pakai Anastan Forte Dosis Anastan Forte untuk meredakan nyeri pada orang dewasa dan anak-anak usia di atas 14 tahun adalah 500 mg, 3 kali sehari.","efek samping terhadap janin, tetapi belum ada studi terkontrol pada wanita hamil. Obat hanya boleh digunakan jika besarnya manfaat yang didapat melebihi besarnya risiko terhadap janin.Pada trimester ke-3 kehamilan, kategorinya menjadiKategori D: Ada bukti bahwa kandungan obat berisiko terhadap janin manusia, tetapi besarnya manfaat yang diperoleh mungkin lebih besar daripada risikonya, misalnya untuk mengatasi situasi yang mengancam nyawa. Anastan Forte terserap ke dalam ASI. Bila Anda sedang menyusui, jangan menggunakan obat ini tanpa berkonsultasi lebih dulu dengan dokter.",Nyeri  peradangan (NSAID),Anastan Forte
